user_id,search_prompt,search_date,"(user_id, ""search_prompt"",  ""search_date""),"
130,alien,5/29/2023,"(130, ""alien"",  ""2023-05-29""),"
21,chess,6/24/2023,"(21, ""chess"",  ""2023-06-24""),"
43,cartoon,8/16/2023,"(43, ""cartoon"",  ""2023-08-16""),"
107,pawn,3/7/2023,"(107, ""pawn"",  ""2023-03-07""),"
73,run,5/18/2023,"(73, ""run"",  ""2023-05-18""),"
62,diamond,5/18/2023,"(62, ""diamond"",  ""2023-05-18""),"
31,starrynight,5/29/2023,"(31, ""starrynight"",  ""2023-05-29""),"
144,pixelart,3/25/2023,"(144, ""pixelart"",  ""2023-03-25""),"
6,fruit,3/12/2023,"(6, ""fruit"",  ""2023-03-12""),"
10,queen,11/22/2023,"(10, ""queen"",  ""2023-11-22""),"
145,insect,6/13/2023,"(145, ""insect"",  ""2023-06-13""),"
56,koala,4/13/2023,"(56, ""koala"",  ""2023-04-13""),"
62,sunny,3/4/2023,"(62, ""sunny"",  ""2023-03-04""),"
80,fruits,10/7/2023,"(80, ""fruits"",  ""2023-10-07""),"
113,fruits,6/15/2023,"(113, ""fruits"",  ""2023-06-15""),"
146,fight,10/7/2023,"(146, ""fight"",  ""2023-10-07""),"
60,network,9/21/2023,"(60, ""network"",  ""2023-09-21""),"
70,alien,1/30/2023,"(70, ""alien"",  ""2023-01-30""),"
117,chess,1/5/2023,"(117, ""chess"",  ""2023-01-05""),"
44,motivation,8/29/2023,"(44, ""motivation"",  ""2023-08-29""),"
84,pet,9/18/2023,"(84, ""pet"",  ""2023-09-18""),"
80,koala,11/11/2023,"(80, ""koala"",  ""2023-11-11""),"
39,calcifer,8/31/2023,"(39, ""calcifer"",  ""2023-08-31""),"
70,diamond,9/9/2023,"(70, ""diamond"",  ""2023-09-09""),"
85,liberty,5/17/2023,"(85, ""liberty"",  ""2023-05-17""),"
33,anime,3/27/2023,"(33, ""anime"",  ""2023-03-27""),"
36,shinny,7/24/2023,"(36, ""shinny"",  ""2023-07-24""),"
18,laptop,2/1/2023,"(18, ""laptop"",  ""2023-02-01""),"
38,sea,7/17/2023,"(38, ""sea"",  ""2023-07-17""),"
111,chess,10/11/2023,"(111, ""chess"",  ""2023-10-11""),"
104,Japan,9/24/2023,"(104, ""Japan"",  ""2023-09-24""),"
7,vangogh,7/31/2023,"(7, ""vangogh"",  ""2023-07-31""),"
12,error,7/20/2023,"(12, ""error"",  ""2023-07-20""),"
144,pillow,2/17/2023,"(144, ""pillow"",  ""2023-02-17""),"
87,internet,9/2/2023,"(87, ""internet"",  ""2023-09-02""),"
24,art,8/17/2023,"(24, ""art"",  ""2023-08-17""),"
40,gaint,2/17/2023,"(40, ""gaint"",  ""2023-02-17""),"
31,vinland,2/12/2023,"(31, ""vinland"",  ""2023-02-12""),"
83,fairy,8/23/2023,"(83, ""fairy"",  ""2023-08-23""),"
125,wings,3/19/2023,"(125, ""wings"",  ""2023-03-19""),"
24,star,3/4/2023,"(24, ""star"",  ""2023-03-04""),"
109,insect,9/22/2023,"(109, ""insect"",  ""2023-09-22""),"
91,traditional,1/31/2023,"(91, ""traditional"",  ""2023-01-31""),"
11,sunny,8/31/2023,"(11, ""sunny"",  ""2023-08-31""),"
15,paper,5/17/2023,"(15, ""paper"",  ""2023-05-17""),"
118,pawn,6/24/2023,"(118, ""pawn"",  ""2023-06-24""),"
129,traditional,3/11/2023,"(129, ""traditional"",  ""2023-03-11""),"
44,,7/24/2023,"(44, """",  ""2023-07-24""),"
103,network,6/15/2023,"(103, ""network"",  ""2023-06-15""),"
93,pixelart,5/16/2023,"(93, ""pixelart"",  ""2023-05-16""),"
21,nickelodeon,5/18/2023,"(21, ""nickelodeon"",  ""2023-05-18""),"
116,pixelart,7/22/2023,"(116, ""pixelart"",  ""2023-07-22""),"
41,artistic,6/4/2023,"(41, ""artistic"",  ""2023-06-04""),"
123,sunny,5/14/2023,"(123, ""sunny"",  ""2023-05-14""),"
103,stars,7/6/2023,"(103, ""stars"",  ""2023-07-06""),"
109,art,11/8/2023,"(109, ""art"",  ""2023-11-08""),"
116,blanket,11/23/2023,"(116, ""blanket"",  ""2023-11-23""),"
119,fight,10/2/2023,"(119, ""fight"",  ""2023-10-02""),"
94,cartoons,2/10/2023,"(94, ""cartoons"",  ""2023-02-10""),"
36,chess,11/11/2023,"(36, ""chess"",  ""2023-11-11""),"
12,grass,1/30/2023,"(12, ""grass"",  ""2023-01-30""),"
17,earth,11/29/2023,"(17, ""earth"",  ""2023-11-29""),"
86,cute,4/28/2023,"(86, ""cute"",  ""2023-04-28""),"
68,pawn,7/2/2023,"(68, ""pawn"",  ""2023-07-02""),"
101,sea,3/21/2023,"(101, ""sea"",  ""2023-03-21""),"
130,insect,1/3/2023,"(130, ""insect"",  ""2023-01-03""),"
93,pixelart,6/26/2023,"(93, ""pixelart"",  ""2023-06-26""),"
74,pixelart,1/9/2023,"(74, ""pixelart"",  ""2023-01-09""),"
42,calcifer,6/21/2023,"(42, ""calcifer"",  ""2023-06-21""),"
145,saga,5/7/2023,"(145, ""saga"",  ""2023-05-07""),"
12,Japan,7/5/2023,"(12, ""Japan"",  ""2023-07-05""),"
113,web,10/16/2023,"(113, ""web"",  ""2023-10-16""),"
38,error,10/30/2023,"(38, ""error"",  ""2023-10-30""),"
142,artistic,8/18/2023,"(142, ""artistic"",  ""2023-08-18""),"
25,sunny,7/15/2023,"(25, ""sunny"",  ""2023-07-15""),"
101,fruits,9/7/2023,"(101, ""fruits"",  ""2023-09-07""),"
102,traditional,7/29/2023,"(102, ""traditional"",  ""2023-07-29""),"
70,bemo,11/26/2023,"(70, ""bemo"",  ""2023-11-26""),"
82,fruits,7/18/2023,"(82, ""fruits"",  ""2023-07-18""),"
11,liberty,1/15/2023,"(11, ""liberty"",  ""2023-01-15""),"
83,paper,4/8/2023,"(83, ""paper"",  ""2023-04-08""),"
116,paper,8/22/2023,"(116, ""paper"",  ""2023-08-22""),"
134,pawn,2/28/2023,"(134, ""pawn"",  ""2023-02-28""),"
79,fairy,9/26/2023,"(79, ""fairy"",  ""2023-09-26""),"
108,chess,7/28/2023,"(108, ""chess"",  ""2023-07-28""),"
124,working,2/1/2023,"(124, ""working"",  ""2023-02-01""),"
106,motivation,2/26/2023,"(106, ""motivation"",  ""2023-02-26""),"
101,grass,9/26/2023,"(101, ""grass"",  ""2023-09-26""),"
114,paper,11/19/2023,"(114, ""paper"",  ""2023-11-19""),"
93,bemo,2/10/2023,"(93, ""bemo"",  ""2023-02-10""),"
9,offline,6/6/2023,"(9, ""offline"",  ""2023-06-06""),"
14,chess,1/16/2023,"(14, ""chess"",  ""2023-01-16""),"
109,cartoon,5/7/2023,"(109, ""cartoon"",  ""2023-05-07""),"
74,liberty,9/18/2023,"(74, ""liberty"",  ""2023-09-18""),"
106,game,1/31/2023,"(106, ""game"",  ""2023-01-31""),"
15,chess,6/6/2023,"(15, ""chess"",  ""2023-06-06""),"
69,fairy,1/3/2023,"(69, ""fairy"",  ""2023-01-03""),"
26,Japan,11/8/2023,"(26, ""Japan"",  ""2023-11-08""),"
128,liberty,3/11/2023,"(128, ""liberty"",  ""2023-03-11""),"
88,fruits,9/16/2023,"(88, ""fruits"",  ""2023-09-16""),"
123,motivate,10/6/2023,"(123, ""motivate"",  ""2023-10-06""),"
113,chess,2/28/2023,"(113, ""chess"",  ""2023-02-28""),"
110,nickelodeon,1/14/2023,"(110, ""nickelodeon"",  ""2023-01-14""),"
102,starrynight,10/31/2023,"(102, ""starrynight"",  ""2023-10-31""),"
135,earth,7/15/2023,"(135, ""earth"",  ""2023-07-15""),"
109,cartoon,5/16/2023,"(109, ""cartoon"",  ""2023-05-16""),"
8,Japan,7/20/2023,"(8, ""Japan"",  ""2023-07-20""),"
129,calcifer,5/29/2023,"(129, ""calcifer"",  ""2023-05-29""),"
26,cute,9/23/2023,"(26, ""cute"",  ""2023-09-23""),"
38,sun,9/21/2023,"(38, ""sun"",  ""2023-09-21""),"
83,sunny,12/2/2023,"(83, ""sunny"",  ""2023-12-02""),"
11,liberty,9/25/2023,"(11, ""liberty"",  ""2023-09-25""),"
40,blanket,2/2/2023,"(40, ""blanket"",  ""2023-02-02""),"
