follower,following,"(follower,following),"
895,605,"(895,605),"
349,700,"(349,700),"
167,705,"(167,705),"
89,681,"(89,681),"
874,466,"(874,466),"
546,572,"(546,572),"
657,793,"(657,793),"
766,998,"(766,998),"
182,756,"(182,756),"
161,634,"(161,634),"
881,494,"(881,494),"
673,542,"(673,542),"
17,792,"(17,792),"
218,486,"(218,486),"
577,564,"(577,564),"
469,767,"(469,767),"
51,579,"(51,579),"
649,643,"(649,643),"
152,720,"(152,720),"
330,785,"(330,785),"
743,502,"(743,502),"
58,998,"(58,998),"
234,482,"(234,482),"
610,541,"(610,541),"
414,681,"(414,681),"
712,789,"(712,789),"
961,889,"(961,889),"
23,584,"(23,584),"
451,466,"(451,466),"
940,517,"(940,517),"
367,568,"(367,568),"
71,636,"(71,636),"
157,533,"(157,533),"
397,712,"(397,712),"
829,674,"(829,674),"
77,501,"(77,501),"
968,796,"(968,796),"
50,546,"(50,546),"
740,889,"(740,889),"
869,509,"(869,509),"
946,705,"(946,705),"
504,681,"(504,681),"
10,783,"(10,783),"
720,437,"(720,437),"
341,700,"(341,700),"
617,720,"(617,720),"
950,567,"(950,567),"
313,737,"(313,737),"
183,966,"(183,966),"
24,466,"(24,466),"
153,708,"(153,708),"
45,466,"(45,466),"
563,494,"(563,494),"
361,636,"(361,636),"
561,693,"(561,693),"
134,708,"(134,708),"
235,466,"(235,466),"
862,741,"(862,741),"
585,433,"(585,433),"
176,675,"(176,675),"
158,517,"(158,517),"
102,805,"(102,805),"
602,996,"(602,996),"
241,792,"(241,792),"
689,786,"(689,786),"
683,637,"(683,637),"
83,750,"(83,750),"
399,566,"(399,566),"
723,717,"(723,717),"
413,709,"(413,709),"
43,992,"(43,992),"
103,474,"(103,474),"
657,720,"(657,720),"
581,769,"(581,769),"
125,569,"(125,569),"
754,490,"(754,490),"
818,966,"(818,966),"
965,886,"(965,886),"
104,609,"(104,609),"
185,886,"(185,886),"
323,606,"(323,606),"
213,501,"(213,501),"
235,454,"(235,454),"
652,880,"(652,880),"
187,647,"(187,647),"
586,796,"(586,796),"
279,753,"(279,753),"
447,466,"(447,466),"
912,606,"(912,606),"
208,477,"(208,477),"
625,465,"(625,465),"
608,501,"(608,501),"
24,577,"(24,577),"
945,803,"(945,803),"
162,584,"(162,584),"
697,547,"(697,547),"
382,579,"(382,579),"
337,944,"(337,944),"
554,745,"(554,745),"
75,617,"(75,617),"
905,996,"(905,996),"
466,796,"(466,796),"
976,493,"(976,493),"
591,609,"(591,609),"
617,712,"(617,712),"
103,727,"(103,727),"
46,737,"(46,737),"
325,602,"(325,602),"
36,674,"(36,674),"
500,541,"(500,541),"
444,442,"(444,442),"
455,884,"(455,884),"
464,454,"(464,454),"
651,680,"(651,680),"
28,477,"(28,477),"
264,703,"(264,703),"
776,741,"(776,741),"
804,616,"(804,616),"
514,845,"(514,845),"
929,688,"(929,688),"
883,944,"(883,944),"
201,482,"(201,482),"
353,565,"(353,565),"
972,756,"(972,756),"
766,450,"(766,450),"
900,594,"(900,594),"
989,542,"(989,542),"
983,985,"(983,985),"
835,624,"(835,624),"
175,793,"(175,793),"
599,575,"(599,575),"
758,449,"(758,449),"
433,579,"(433,579),"
968,922,"(968,922),"
473,614,"(473,614),"
49,705,"(49,705),"
718,724,"(718,724),"
740,497,"(740,497),"
934,486,"(934,486),"
468,566,"(468,566),"
845,966,"(845,966),"
178,625,"(178,625),"
297,785,"(297,785),"
180,705,"(180,705),"
116,518,"(116,518),"
160,489,"(160,489),"
605,616,"(605,616),"
979,579,"(979,579),"
304,609,"(304,609),"
884,549,"(884,549),"
661,888,"(661,888),"
394,672,"(394,672),"
789,567,"(789,567),"
390,604,"(390,604),"
417,485,"(417,485),"
963,498,"(963,498),"
545,522,"(545,522),"
814,578,"(814,578),"
193,680,"(193,680),"
275,726,"(275,726),"
947,590,"(947,590),"
496,477,"(496,477),"
785,703,"(785,703),"
744,717,"(744,717),"
661,454,"(661,454),"
667,703,"(667,703),"
723,782,"(723,782),"
126,466,"(126,466),"
373,627,"(373,627),"
776,585,"(776,585),"
359,737,"(359,737),"
802,591,"(802,591),"
970,720,"(970,720),"
97,637,"(97,637),"
989,453,"(989,453),"
71,688,"(71,688),"
727,737,"(727,737),"
713,712,"(713,712),"
101,998,"(101,998),"
74,542,"(74,542),"
426,572,"(426,572),"
642,635,"(642,635),"
822,703,"(822,703),"
287,703,"(287,703),"
507,744,"(507,744),"
451,546,"(451,546),"
365,717,"(365,717),"
886,533,"(886,533),"
776,781,"(776,781),"
19,493,"(19,493),"
540,550,"(540,550),"
164,591,"(164,591),"
491,445,"(491,445),"
497,704,"(497,704),"
853,537,"(853,537),"
311,470,"(311,470),"
752,583,"(752,583),"
118,550,"(118,550),"
255,624,"(255,624),"
706,785,"(706,785),"
447,551,"(447,551),"
542,506,"(542,506),"
202,445,"(202,445),"
732,798,"(732,798),"
699,441,"(699,441),"
349,462,"(349,462),"
836,489,"(836,489),"
250,569,"(250,569),"
718,794,"(718,794),"
930,608,"(930,608),"
611,591,"(611,591),"
293,608,"(293,608),"
217,537,"(217,537),"
80,833,"(80,833),"
550,712,"(550,712),"
612,509,"(612,509),"
823,501,"(823,501),"
617,771,"(617,771),"
508,745,"(508,745),"
920,465,"(920,465),"
504,789,"(504,789),"
171,779,"(171,779),"
703,743,"(703,743),"
880,786,"(880,786),"
450,434,"(450,434),"
224,537,"(224,537),"
730,737,"(730,737),"
298,617,"(298,617),"
143,999,"(143,999),"
249,866,"(249,866),"
820,494,"(820,494),"
544,785,"(544,785),"
644,998,"(644,998),"
120,506,"(120,506),"
214,675,"(214,675),"
42,995,"(42,995),"
952,773,"(952,773),"
396,461,"(396,461),"
283,944,"(283,944),"
402,569,"(402,569),"
95,584,"(95,584),"
283,627,"(283,627),"
840,725,"(840,725),"
148,727,"(148,727),"
140,683,"(140,683),"
249,616,"(249,616),"
885,579,"(885,579),"
20,985,"(20,985),"
461,628,"(461,628),"
237,489,"(237,489),"
650,489,"(650,489),"
661,510,"(661,510),"
721,572,"(721,572),"
44,786,"(44,786),"
235,453,"(235,453),"
296,585,"(296,585),"
586,999,"(586,999),"
40,771,"(40,771),"
202,693,"(202,693),"
785,568,"(785,568),"
14,505,"(14,505),"
504,614,"(504,614),"
895,441,"(895,441),"
106,473,"(106,473),"
112,604,"(112,604),"
616,579,"(616,579),"
973,585,"(973,585),"
55,513,"(55,513),"
314,845,"(314,845),"
804,486,"(804,486),"
735,453,"(735,453),"
417,751,"(417,751),"
113,887,"(113,887),"
483,549,"(483,549),"
973,470,"(973,470),"
11,779,"(11,779),"
953,635,"(953,635),"
817,966,"(817,966),"
286,608,"(286,608),"
999,647,"(999,647),"
312,727,"(312,727),"
716,566,"(716,566),"
42,514,"(42,514),"
861,737,"(861,737),"
22,889,"(22,889),"
310,505,"(310,505),"
5,602,"(5,602),"
587,489,"(587,489),"
354,966,"(354,966),"
588,886,"(588,886),"
741,995,"(741,995),"
314,518,"(314,518),"
12,605,"(12,605),"
874,767,"(874,767),"
108,635,"(108,635),"
265,584,"(265,584),"
839,693,"(839,693),"
436,513,"(436,513),"
113,796,"(113,796),"
967,786,"(967,786),"
847,753,"(847,753),"
128,583,"(128,583),"
400,900,"(400,900),"
488,743,"(488,743),"
453,514,"(453,514),"
289,466,"(289,466),"
229,462,"(229,462),"
346,450,"(346,450),"
341,637,"(341,637),"
925,693,"(925,693),"
549,510,"(549,510),"
323,458,"(323,458),"
669,542,"(669,542),"
829,433,"(829,433),"
239,995,"(239,995),"
285,643,"(285,643),"
875,884,"(875,884),"
